kana,kanji,english,romaji
にんげん,人間,human,ningen
じんるい,人類,humanity,jinrui
ひと,人,person,hito
おとこ,男,male,otoko
おとこのひと,男の人,man,otokonohito
おとこのこ,男の子,boy,otokonoko
おんな,女,female,onna
おんなのひと,女の人,woman,onnanohito
おんなのこ,女の子,girl,onnanoko
あかちゃん,赤ちゃん,baby,akachan
わかもの,若者,"youth, young person",wakamono
わたし,私,"I, myself",watashi
わたくし,私,"I, myself [most formal]",watakushi
ぼく,僕,"I, myself (mainly used by males)",boku
おれ,俺,"I, myself (mainly used by males) [informal]",ore
あたし,私,"I, myself (mainly used by females) [softer sounding]",atashi
しょうじょ,少女,girl,shoujo
しょうねん,少年,boy,shounen
いしゃ,医者,doctor,isha
かんごし,看護師,nurse,kangoshi
かんごふ,看護婦,female nurse,kangofu
しかい,歯科医,dentist,shikai
はいしゃ,歯医者,dentist,ha-isha
せいじか,政治家,politician,seijika
べんごし,弁護士,lawyer,bengoshi
しょうぼうし,消防士,firefighter,shouboushi
けいさつかん,警察官,police officer,keisatsukan
へいし,兵士,soldier,heishi
けんちくか,建築家,architect,kenchikuka
せんせい,先生,teacher,sensei
きょうし,教師,(academic) teacher,kyoushi
かしゅ,歌手,singer,kashu
エンジニア,,engineer,enjinia
あし,足 / 脚,"foot, leg",ashi
かかと,踵,heel,kakato
すね,脛,shin,sune
ひざ,膝,knee,hiza
もも,腿,thigh,momo
あたま,頭,head,atama
かお,顔,face,kao
くち,口,mouth,kuchi
くちびる,唇,lips,kuchibiru
は,歯,tooth,ha
はな,鼻,nose,hana
め,目,eye,me
ひげ,髭 / 鬚 / 髯,"moustache, beard",hige
かみ,髪,hair,kami
みみ,耳,ear,mimi
おなか,御腹,stomach,onaka
うで,腕,arm,ude
ひじ,肘,elbow,hiji
かた,肩,shoulder,kata
つめ,爪,nail,tsume
て,手,hand,te
てくび,手首,wrist,tekubi
てのひら,掌 / 手の平,palm of hand,te-no-hira
ゆび,指,"finger, toe",yubi
しり,尻,buttocks,shiri
おなか,お腹,abdomen,o-naka
はら,腹,stomach,hara
かんぞう,肝臓,liver,kanzō
きも,肝,liver,kimo
